Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
Learning Tree Nursery School,"<div>The Learning Tree Nursery School is a non-profit organization open to the general public. We welcome all children from the community and do not discriminate on the basis of race, color, sex or creed.</div>
<div><a title="""" href=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1373.jpg"" target="""" rel=""""><img class=""alignnone size-large wp-image-1080"" title="""" src=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1373-1024x768.jpg"" alt=""IMG_1373"" width=""250"" height=""170"" /></a>The philosophy of The Learning Tree Nursery School has as its cornerstone the developmental theory of early childhood education. We believe that each child has worth and dignity and therefore, the right to a variety of learning experiences which will promote his/her fullest possible development. We believe learning occurs when realistic expectations are made in a climate in which the learner is valued.</div>
<div>The nursery school experience is a benefit to the child when it stimulates him/her intellectually; broadens his/her social abilities to accept security with adults; and companionship with his/her peers; influences growth toward self-discipline; and promotes health, physical growth, motor development and self-expression.</div>
<div>The goals of the Learning Tree Nursery School programs are to establish firm educational<a title="""" href=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1371.jpg"" target="""" rel=""""><img class=""alignnone size-large wp-image-1079"" title="""" src=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1371-1024x768.jpg"" alt=""IMG_1371"" width=""250"" height=""170"" /></a>roots; but at the same time promote childhood. Our goals for your child are the same as those published by Association for Childhood Education International and the National Association for Education of Young Children. They are:</div>
<div>to promote health, physical growth and motor development
to increase independence in meeting and solving problems
to strengthen inner emotional controls
to recognize reasonable limits and to influence growth toward self-discipline
to encourage self-liking and self-confidence and self-understanding
to foster security with adults
to stimulate liking for children of different ages and backgrounds
to promote the language skills
to promote self-expression in art, music and dance
to broaden intellectual horizons
to help children to observe, investigate, seek and acquire information, and think critically.</div>
<div></div>
<div></div>
<div><strong>Staff of Learning Tree</strong></div>
<div></div>
<div><img class=""size-large wp-image-1081 alignnone"" title="""" src=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1377-1024x768.jpg"" sizes=""(max-width: 300px) 100vw, 300px"" srcset=""http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1377-1024x768.jpg 1024w, http://www.fpc-cumberland.org/wp-content/uploads/2014/12/IMG_1377-300x225.jpg 300w"" alt=""IMG_1377"" width=""300"" height=""225"" /></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div><strong>Registering for Learning Tree</strong></div>
<div>Please use the <a href=""http://www.fpc-cumberland.org/wp-content/uploads/2017/02/Registration-Form-2017-2018.pdf"">Registration Form for 2017-2018</a> to register your child. If you have questions, please contact the Director, Nadene Stroup at (301) 777-3700 Ext. 105. You can drop your registration form off at the church office, Monday-Friday from 9am-5pm.</div>
<div></div>
<div></div>
<div><strong>Tuition for the 2016-2017 School Year</strong></div>
<ul>
 	<li>
<div>1 day per week for one month = $60.00</div></li>
 	<li>
<div>2 days per week for one month = $120.00</div></li>
 	<li>
<div>3 days per week for one month = $180.00</div></li>
 	<li>
<div>5 days per week for one month (Pre-K) = $300.00 (4 year-olds only)</div></li>
</ul>",education,firstpresbyteriansecretary@gmail.com,,,301.777.3700,http://www.fpc-cumberland.org/education/nursery-school/,https://www.facebook.com/pg/First.Pres.Cumberland/about/?ref=page_internal,,2544
Lighthouse Christian Academy,Our vision at LCA is to empower our students to impact our culture by identifying and fulfilling their God-given purpose as Christians with Godly character influencing the church and the world.,education,lcasuns2020@gmail.com,,,301.777.7375,http://www.lighthousesuns.org/index.html,https://www.facebook.com/pg/lcasuns/about/?ref=page_internal,,2018
"Bethel Christian School, LLC","Church Exempt Schools Registered with the Maryland State Department of Education.

First Assembly of God

Bethel Christian School is a private school in Oakland, Maryland, servicing grades K-12. The school is registered with the MD State Dept. of Education.",education,bethelchristianschool@gmail.com,,,540.940.4605,,https://www.facebook.com/pg/BethelChristianSchool/about/?ref=page_internal,,4984
Bittinger Mennonite School,"Church-Exempt Schools Registered with the Maryland State Department of Education

K-12",education,,,,301.245.4419,,https://www.facebook.com/pages/Bittinger-Mennonite-School/541293436001116,,2580
Casselman Valley School,"Church Exempt Schools Registered with the Maryland State Department of Education

Grades 1-8",education,,,,(301) 895-5069,,https://www.facebook.com/pages/Casselman-Valley-School/923869667658250,,2203
Ferndale Christian School,"<strong>Ferndale Christian School</strong>

Church-Exempt Schools Registered with the Maryland State Department of Education",education,,,,301.334.4571,,https://www.facebook.com/pages/Ferndale-Christian-School/1907102489515549,,2739
Mountain Top SDA School,"Mountain View Conference of Seventh-Day Adventists

Church-Exempt Schools registered with the Maryland State Department of Education",education,,,,301.387.0022,,,,2264
Swanton Mennonite Fellowship Scholl,"Swanton Mennonite Fellowship School

Church Exempt Schools Registered with the Maryland State Department of Education",education,,,,301.387.4380,,,,2291
Frostburg Area Inter-Faith Food Pantry,"<img src=""http://s3.amazonaws.com/e-zekiel/sites/a3301e0c-4e46-11e4-aa25-ae3b58a8c617/images/12999/FP_Inside-medium.jpg?1443319632"" />

If you or someone you know is in need of help, please contact Frostburg United Methodist Church at 301-689-6626 for more information on the application process. Non-perishable donations can be dropped off at the back of the Pantry, which can be accessed via the church parking lot on Mechanic Street.
<h1><img src=""http://s3.amazonaws.com/e-zekiel/sites/a3301e0c-4e46-11e4-aa25-ae3b58a8c617/images/12994/FP_Front-medium.jpg?1443319536"" /></h1>",food,,,,301-689-6626,,,,4327
Garrett County 4-H,"4-H is a nation-wide hands-on youth development program, the largest in the United States with over 6.5 million members. Our purpose is to provide a supportive setting for all girls and boys to mature into competent, caring, and responsible people through volunteerism and the learning of valuable life skills—4-H also provides many opportunities for young people to take on leadership roles. At its most basic level, 4-H is about belonging to one or more <strong><a href=""https://extension.umd.edu/garrett-county/4-h-youth-development/4-h-clubs"">4-H clubs</a> </strong>and pursuing the projects and interests that you love, all while serving the community.

Currently, we have 20 clubs and 8 afterschool outreach groups, reaching 351 youth in community clubs, 871 youth in special interest/short-term programs, 269 youth in afterschool outreach groups and 970 youth in overnight camping programs throughout Garrett County, MD. That is over 2461 youth in our county committed to change! This change starts with the heart of 4-H: Community Service.  Garrett County 4-Hers submitted reports for the President’s Volunteer Service Awards, logging 3925 hours of service in our community.  4-H Volunteers did their part in changing our community, providing a volunteer value of $4,627.26 for their service to our community!",youth-services;agriculture;clubs-and-organizations;children,rcvetnic@umd.edu,301-334-6961,,301-334-6960,http://extension.umd.edu/garrett-county,https://www.facebook.com/4HGarrettCoMD,,5736
Alzheimer's Association,,alzheimers,dfost@alz.org,301-696-9061,,301-696-0315 ext. 121,http://www.alz.org/maryland,,,2157
Martinsburg VA Medical Center,"Appointments : 304.263.0811 Ext 5110

Eligibility: 304.263.0811 Ext 5225

Vet Transportation Network: 304.263.0811

Customer Service 304.263.0811 Ext 3068

Outreach Program Specialist 304.263.6776",veterans,Gregory.edens@va.gov,,,1.800.817.3807,https://www.martinsburg.va.gov/,https://www.facebook.com/VeteransAffairs,,1854
Disabled American Outreach Program Specialist,"Disabled Veterans Outreach Program (DVOP) specialists provide intensive services to meet the employment needs of disabled veterans and other eligible veterans, with the maximum emphasis directed toward serving those who are economically or educationally disadvantaged, including homeless veterans, and veterans with barriers to employment.",veterans,James.machinke@maryland.gov,,,301.777.1221,,,,1279
Garrett County Homeless Committee Veterans Representative,Richard Egtvedt,veterans,,,,301.387.0400,http://regtvedt@ltsg.edu,,,2493
Student Veterans Organization-Garrett College,"We recognize and appreciate the contributions and sacrifices that our Active Duty Service members, Reservists, Guardsmen, Veterans and Dependents have made for our country. Garrett College seeks to create an enhanced learning environment by providing military, veterans, and their dependents with support and resources in a friendly atmosphere. Garrett strives to address the unique issues and challenges these students face when entering the college environment. Garrett is committed to giving back to those who serve our country and the family members who support them.

Kathy Fauber, our Financial Aid/Veteran Affairs Counselor is eager to assist you with reviewing your VA Education Benefits, explaining entitlements, and helping you through this process. However, the Department of Veterans Affairs is the only resource that can answer your personal and specific GI Bill entitlement questions. We encourage you to call 1-888-GIBILL-1 or visit <a href=""http://www.gibill.va.gov/"" target=""_blank"" rel=""noopener"">www.gibill.va.gov</a>. Regardless of your GI bill eligibility, you may also qualify for other forms of Federal and State Financial Aid. To determine eligibility please fill out a FAFSA on line at <a href=""http://www.fafsa.ed.gov/"" target=""_blank"" rel=""noopener"">www.fafsa.ed.gov</a>",veterans,,,,301.387.3057,https://www.garrettcollege.edu/veterans-affairs.php,,,1509
Veterans Employment Services - Garrett County,,veterans,,,,301.334.3972,,,,1668
The Veterans Crisis Line,"<strong>PRESS 1</strong>

If you’re a Veteran in crisis or know a Veteran who is, confidential support is only a phone call, click, or text away — 24 hours a day, 7 days a week, 365 days a year.

The Veterans Crisis Line, <a href=""https://www.veteranscrisisline.net/ChatTermsOfService.aspx"">online chat</a>, and text-messaging service are free to all Veterans, even if you are not registered with the U.S. Department of Veterans Affairs (VA) or enrolled in VA health care. Hundreds of Veterans call us every day, and start to get back on track.

The Veterans Crisis Line is staffed by caring, qualified VA responders — some of whom are Veterans themselves. They understand what Veterans have been through and the challenges Veterans of all ages and service eras face.

Crisis feels different for everybody and can arise from a wide range of situations before, during, or after military service. Some Veterans are coping with aging, stress, or similar challenges faced during civilian life while others may experience difficulties in their relationships or transitioning back to employment or education.

Whatever’s got you down — chronic pain, anxiety, depression, sleeplessness, anger, or even homelessness — a Veterans Crisis Line responder can provide support, day or night.",veterans,,,,1.800.273.8255,https://www.veteranscrisisline.net/ForVeterans.aspx,,,1328
